"Cuenta";"Nombre_cuenta";"Ramo";"2016-01-31";"2016-02-29";"2016-03-31";"2016-04-30";"2016-05-31";"2016-06-30";"2016-07-31";"2016-08-31";"2016-09-30";"2016-10-31";"2016-11-30";"2016-12-31";"2017-01-31";"2017-02-28";"2017-03-31";"2017-04-30";"2017-05-31";"2017-06-30";"2017-07-31";"2017-08-31";"2017-09-30";"2017-10-31";"2017-11-30";"2017-12-31";"2018-01-31"
"29019101020";"ACEPTADAS REASEGURO INTERIOR";"Ramos_Total";24021111407;50366608300;78611701993;108945150047;139209265870;169419530502;196681022063;225688819804;255983172942;286015190735;317338985708;349264452648;30062923310;57162748213;90971919048;122685110043;155762972161;188067566431;219322428011;254520987176;291289329793;327399438463;361937896735;396504478129;29133756263
"29019101025";"ACEPTADAS REASEGURO EXTERIOR";"Ramos_Total";335008802.42;651714010.01;1030123161.7;1413522225.8;1853191699.5;2389142664.99;2971123724.03;3514501081.09;4129302198.72;4790680366.09;5493068816.89;6180210920.88;651045417.26;2053506857.57;3183597454.66;4323742183.47;5552831078.63;6893129076.93;8162157835.52;9421570009.1;10696510301.58;12059342570.35;13379942880.34;14686008337.17;1348229880.88
"29019101030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"Ramos_Total";-2528888296.77;-5654116478.77;-9010546913.95;-12487603523.39;-16287675133.16;-19234762987.82;-22262153653.62;-25252512648.48;-29359243166.69;-32976288876.02;-36693050912.18;-39895585502.09;-2875744900.02;-5054086712.57;-9734804048.25;-13302570051.92;-16535162690.91;-23618862036.95;-29102478217.05;-34519257019.84;-39187029952.15;-44186906116.15;-49726118006.43;-53432155209.49;-4298147338.32
"29019201020";"ACEPTADAS REASEGURO INTERIOR";"Ramos_Vida";20678514309;43349762040;68780384009;97878864154;121691833687;148310680226;172179898826;197113230627;223934125999;250487971269;277910870918;306392140605;26352896912;50117421664;80100372408;107983065100;137043710312;165260394421;192732988977;223371418484;255925989456;288008776458;319093915089;349581768831;25203037189
"29019201025";"ACEPTADAS REASEGURO EXTERIOR";"Ramos_Vida";300928206.33;587389365.08;934503982.7;1271869081.11;1648504499.46;2120155113.92;2630822566.93;3095477687.4;3621664349.75;4183035816.99;4767701706.69;5311991433.67;471186225.02;1674976637.38;2579213242.96;3510135518.86;4499428186.32;5620383905.99;6631838393.28;7659100846.07;8714639220.12;9860317294.17;10978495838.7;12090594277.39;1175103045.35
"29019201030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"Ramos_Vida";-1992112136.57;-4410901747.05;-7066055383.31;-9757770933.42;-12745992870.28;-15008714547.49;-17356809205.23;-19606377284.6;-22925301769.65;-25808168518.15;-28720922849.25;-31231991863;-2423683720.92;-4114466780;-8102934005.77;-11079200377.21;-13675040656.46;-19375764131.94;-23549671861.2;-28029486860.35;-32054083589.86;-36009656190.72;-40757324997.43;-43884767851.2;-3476817558.28
"29019301020";"ACEPTADAS REASEGURO INTERIOR";"Ramos_Generales";3342597098;7016846260;9831317984;11066285893;17517432183;21108850276;24501123237;28575589177;32049046943;35527219466;39428114790;42872312043;3710026398;7045326549;10871546640;14702044943;18719261849;22807172010;26589439034;31149568692;35363340337;39390662005;42843981646;46922709298;3930719074
"29019301025";"ACEPTADAS REASEGURO EXTERIOR";"Ramos_Generales";34080596.09;64324644.93;95619179;141653144.69;204687200.04;268987551.07;340301157.1;419023393.69;507637848.97;607644549.1;725367110.2;868219487.21;179859192.24;378530220.19;604384211.7;813606664.61;1053402892.31;1272745170.94;1530319442.24;1762469163.03;1981871081.46;2199025276.18;2401447041.64;2595414059.78;173126835.53
"29019301030";"CANC Y-O ANULAC PRIMAS REASEG ACEP";"Ramos_Generales";-536776160.2;-1243214731.72;-1944491530.64;-2729832589.97;-3541682262.88;-4226048440.33;-4905344448.39;-5646135363.88;-6433941397.04;-7168120357.87;-7972128062.93;-8663593639.09;-452061179.1;-939619932.57;-1631870042.48;-2223369674.71;-2860122034.45;-4243097905.01;-5552806355.85;-6489770159.49;-7132946362.29;-8177249925.43;-8968793009;-9547387358.29;-821329780.04
"29019401020";"ACEPTADAS REASEGURO INTERIOR";"Ramos_Objetivo";24021111407;50366608300;78611701993;108945150047;139209265870;169419530502;196681022063;225688819804;255983172942;286015190735;317338985708;349264452648;30062923310;57162748213;90971919048;122685110043;155762972161;188067566431;219322428011;254520987176;291289329793;327399438463;361937896735;396504478129;29133756263
